subscribers,video views,category,uploads,Country,channel_type,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,Gross tertiary education enrollment (%),Population,Unemployment rate
19600000,7906181776.0,Film & Animation,214,United States,Entertainment,6900000.0,110600000.0,2016.0,Jun,88.2,328239523.0,14.7
19600000,3961318438.0,Gaming,674,United States,Games,66900.0,1100000.0,2013.0,Jan,88.2,328239523.0,14.7
19500000,5234251168.0,Entertainment,847,India,Entertainment,0.0,0.0,2014.0,Mar,28.1,1366417754.0,5.36
19400000,2255542592.0,News & Politics,4750,India,News,96300.0,1500000.0,2017.0,Jul,28.1,1366417754.0,5.36
19400000,1577859332.0,People & Blogs,85,Mexico,People,7100.0,114300.0,2017.0,Sep,40.2,126014024.0,3.42
19400000,23038014291.0,Entertainment,125974,India,Entertainment,818800.0,13100000.0,2010.0,Mar,28.1,1366417754.0,5.36
19400000,5529131886.0,Sports,10728,Switzerland,Sports,176600.0,2800000.0,2006.0,Sep,59.6,8574832.0,4.58
19200000,4329121104.0,People & Blogs,570,United States,Comedy,8200.0,131100.0,2005.0,Sep,88.2,328239523.0,14.7
19200000,7590582024.0,Entertainment,8285,India,Music,86000.0,1400000.0,2011.0,Jan,28.1,1366417754.0,5.36
19100000,13124645973.0,Entertainment,6526,United States,Comedy,51700.0,827600.0,2006.0,Sep,88.2,328239523.0,14.7
19100000,4566120190.0,Comedy,139,United States,Comedy,93000.0,1500000.0,2014.0,Aug,88.2,328239523.0,14.7
19000000,4924054368.0,Education,60,United States,Entertainment,64800.0,1000000.0,2018.0,Feb,88.2,328239523.0,14.7
19000000,7229175322.0,Howto & Style,903,Mexico,Howto,370000.0,5900000.0,2018.0,Jan,40.2,126014024.0,3.42
19000000,8281724393.0,Film & Animation,1525,India,Entertainment,317100.0,5100000.0,2017.0,Nov,28.1,1366417754.0,5.36
19000000,13824277846.0,Film & Animation,1154,Brazil,Film,230700.0,3700000.0,2012.0,Jul,51.3,212559417.0,12.08
19000000,16014044618.0,Music,79,United Kingdom,Music,307200.0,4900000.0,2007.0,Feb,60.0,66834405.0,3.85
19000000,15126092508.0,Entertainment,64496,South Korea,Entertainment,324000.0,5200000.0,2007.0,Jan,94.3,51709098.0,4.15
18900000,2855519150.0,People & Blogs,375,Russia,Entertainment,73700.0,1200000.0,2014.0,Oct,81.9,144373535.0,4.59
18900000,9813245108.0,Education,719,Mexico,Education,421200.0,6700000.0,2018.0,Jan,40.2,126014024.0,3.42
18800000,3654621568.0,Education,2072,United States,Education,89600.0,1400000.0,2011.0,Mar,88.2,328239523.0,14.7
18800000,5257834105.0,Entertainment,312,United Kingdom,Entertainment,234500.0,3800000.0,2015.0,Jun,60.0,66834405.0,3.85
18800000,9573641299.0,Music,217,United States,Music,293300.0,4700000.0,2009.0,Oct,88.2,328239523.0,14.7
18800000,9594188708.0,Entertainment,530,Ukraine,Entertainment,204000.0,3300000.0,2014.0,Oct,82.7,44385155.0,8.88
18800000,3276891538.0,Comedy,304,India,People,327100.0,5200000.0,2014.0,Jul,28.1,1366417754.0,5.36
18700000,12295637162.0,Entertainment,16,Spain,Music,0.31,5.0,2005.0,Sep,88.9,47076781.0,13.96
18600000,6047584292.0,Entertainment,4487,India,Comedy,307300.0,4900000.0,2007.0,Jan,28.1,1366417754.0,5.36
18600000,20196704276.0,Music,6287,Thailand,Music,505800.0,8100000.0,2014.0,Jan,49.3,69625582.0,0.75
18600000,8761255550.0,Gaming,6289,Saudi Arabia,Games,129000.0,2100000.0,2013.0,Nov,68.0,34268528.0,5.93
18500000,2908120896.0,Music,1329,Brazil,Music,0.0,0.0,2007.0,Sep,51.3,212559417.0,12.08
18500000,3457618361.0,Gaming,374,Russia,Games,114800.0,1800000.0,2008.0,Apr,81.9,144373535.0,4.59
18500000,8147575884.0,People & Blogs,493,Russia,People,146800.0,2300000.0,2016.0,Jan,81.9,144373535.0,4.59
18500000,4051072188.0,People & Blogs,679,Indonesia,People,592100.0,9500000.0,2014.0,Jan,36.3,270203917.0,4.69
18400000,4120324310.0,Entertainment,111,United States,Entertainment,43300.0,692600.0,2009.0,Jul,88.2,328239523.0,14.7
18400000,7038827526.0,Comedy,6943,Spain,Games,33000.0,528200.0,2011.0,Jan,88.9,47076781.0,13.96
18400000,11544297793.0,Music,3159,Thailand,Music,162400.0,2600000.0,2011.0,Mar,49.3,69625582.0,0.75
18400000,25367126292.0,Music,197,United States,Music,801400.0,12800000.0,2009.0,Sep,88.2,328239523.0,14.7
18300000,1606834186.0,People & Blogs,786,Indonesia,Entertainment,51200.0,819000.0,2017.0,Jul,36.3,270203917.0,4.69
18300000,7760819588.0,Entertainment,142,United States,Entertainment,383900.0,6100000.0,2009.0,Sep,88.2,328239523.0,14.7
18300000,1556003039.0,Gaming,1324,United States,Games,420800.0,6700000.0,2016.0,Mar,88.2,328239523.0,14.7
18200000,3213324455.0,People & Blogs,6903,Brazil,Howto,54100.0,866200.0,2017.0,Jun,51.3,212559417.0,12.08
18100000,13378360425.0,Entertainment,420,United States,Entertainment,1500000.0,23900000.0,2012.0,Oct,88.2,328239523.0,14.7
18100000,3306242674.0,Entertainment,1037,Indonesia,Entertainment,81900.0,1300000.0,2015.0,Mar,36.3,270203917.0,4.69
18100000,9983065083.0,Gaming,1521,France,Entertainment,144300.0,2300000.0,2011.0,Jan,65.6,67059887.0,8.43
18100000,14857290259.0,Education,707,United States,Education,541200.0,8700000.0,2014.0,Jan,88.2,328239523.0,14.7
18100000,10703830496.0,Music,131,South Korea,Music,195000.0,3100000.0,2010.0,Oct,94.3,51709098.0,4.15
18000000,3980991248.0,Howto & Style,2470,Brazil,Tech,164300.0,2600000.0,2006.0,Jul,51.3,212559417.0,12.08
18000000,9601137077.0,Sports,650,Australia,Sports,1200000.0,18800000.0,2009.0,Sep,113.1,25766605.0,5.27
