,subscribers,youtuber,video_views,channel_category,channel_uploads,country,lowest_yearly_earnings,highest_yearly_earnings,created_year,tertiary_education_enrollment,population,unemployment_rate,channel_type,Latitude,Longitude,region
411,19700000,Official Pink Panther,10955619815.0,Media,1,United States,0.0,0.0,2011,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
412,19700000,Britain's Got Talent,11323617496.0,Entertainment,4225,United Kingdom,162600.0,2600000.0,2008,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
413,19700000,SCTV,9808676159.0,Entertainment,267,United Kingdom,1.0,16.0,2006,60.0,66834405.0,3.85,Music,55.378051,-3.435973,Europe
414,19600000,AS Gaming,2851024430.0,Gaming & Sports,17,United States,0.07,1.0,2009,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
415,19600000,Sony AATH,13930021471.0,Media,18661,United States,822600.0,13200000.0,2013,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
416,19600000,tabii Urdu,8779729549.0,Entertainment,1306,Turkey,332400.0,5300000.0,2020,23.9,83429615.0,13.49,Entertainment,38.963745,35.243322,Asia
417,19600000,DaFuq!?Boom!,7906181776.0,Media,214,United States,6900000.0,110600000.0,2016,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
418,19600000,Clash of Clans,3961318438.0,Gaming & Sports,674,United States,66900.0,1100000.0,2013,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
419,19500000,RKD Studios,5234251168.0,Entertainment,847,India,0.0,0.0,2014,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
420,19400000,DLS News,2255542592.0,Education,4750,India,96300.0,1500000.0,2017,28.1,1366417754.0,5.36,News,20.593684,78.96288,Asia
421,19400000,JukiLop,1577859332.0,Lifestyle,85,Mexico,7100.0,114300.0,2017,40.2,126014024.0,3.42,People,23.634501,-102.552784,N.America
422,19400000,etvteluguindia,23038014291.0,Entertainment,125974,India,818800.0,13100000.0,2010,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
423,19400000,FIFA,5529131886.0,Gaming & Sports,10728,Switzerland,176600.0,2800000.0,2006,59.6,8574832.0,4.58,Sports,46.818188,8.227512,Europe
427,19200000,shane,4329121104.0,Lifestyle,570,United States,8200.0,131100.0,2005,88.2,328239523.0,14.7,Comedy,37.09024,-95.712891,N.America
428,19200000,Sonotek,7590582024.0,Entertainment,8285,India,86000.0,1400000.0,2011,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
429,19100000,Jimmy Kimmel Live,13124645973.0,Entertainment,6526,United States,51700.0,827600.0,2006,88.2,328239523.0,14.7,Comedy,37.09024,-95.712891,N.America
430,19100000,TheOdd1sOut,4566120190.0,Lifestyle,139,United States,93000.0,1500000.0,2014,88.2,328239523.0,14.7,Comedy,37.09024,-95.712891,N.America
433,19000000,ýýýýýýýýýýýýýý ýýýý,4924054368.0,Education,60,United States,64800.0,1000000.0,2018,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
434,19000000,SUPER SLICK SLIME SAM,7229175322.0,Education,903,Mexico,370000.0,5900000.0,2018,40.2,126014024.0,3.42,Howto,23.634501,-102.552784,N.America
435,19000000,Wow Kidz Action,8281724393.0,Media,1525,India,317100.0,5100000.0,2017,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
436,19000000,Turma da Mï¿½ï¿½,13824277846.0,Media,1154,Brazil,230700.0,3700000.0,2012,51.3,212559417.0,12.08,Film,-14.235004,-51.92528,S.America
437,19000000,Calvin Harris,16014044618.0,Music,79,United Kingdom,307200.0,4900000.0,2007,60.0,66834405.0,3.85,Music,55.378051,-3.435973,Europe
438,19000000,KBS WORLD TV,15126092508.0,Entertainment,64496,South Korea,324000.0,5200000.0,2007,94.3,51709098.0,4.15,Entertainment,35.907757,127.766922,Asia
439,18900000,HiMan,2855519150.0,Lifestyle,375,Russia,73700.0,1200000.0,2014,81.9,144373535.0,4.59,Entertainment,61.52401,105.318756,Europe
441,18900000,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,9813245108.0,Education,719,Mexico,421200.0,6700000.0,2018,40.2,126014024.0,3.42,Education,23.634501,-102.552784,N.America
442,18800000,TED-Ed,3654621568.0,Education,2072,United States,89600.0,1400000.0,2011,88.2,328239523.0,14.7,Education,37.09024,-95.712891,N.America
443,18800000,Sidemen,5257834105.0,Entertainment,312,United Kingdom,234500.0,3800000.0,2015,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
446,18800000,Farruko,9573641299.0,Music,217,United States,293300.0,4700000.0,2009,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
447,18800000,ýýýýýýýýýýýýýýýýýýýýýý,9594188708.0,Entertainment,530,Ukraine,204000.0,3300000.0,2014,82.7,44385155.0,8.88,Entertainment,48.379433,31.16558,Europe
448,18800000,Triggered Insaan,3276891538.0,Lifestyle,304,India,327100.0,5200000.0,2014,28.1,1366417754.0,5.36,People,20.593684,78.96288,Asia
449,18700000,CKN,12295637162.0,Entertainment,16,Spain,0.31,5.0,2005,88.9,47076781.0,13.96,Music,40.463667,-3.74922,Europe
451,18600000,Shemaroo Comedy,6047584292.0,Entertainment,4487,India,307300.0,4900000.0,2007,28.1,1366417754.0,5.36,Comedy,20.593684,78.96288,Asia
453,18600000,GRAMMY GOLD OFFICIAL,20196704276.0,Music,6287,Thailand,505800.0,8100000.0,2014,49.3,69625582.0,0.75,Music,15.870032,100.992541,Asia
454,18600000,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,8761255550.0,Gaming & Sports,6289,Saudi Arabia,129000.0,2100000.0,2013,68.0,34268528.0,5.93,Games,23.885942,45.079162,Asia
455,18500000,Dan-Sa / Daniel Saboya,2908120896.0,Music,1329,Brazil,0.0,0.0,2007,51.3,212559417.0,12.08,Music,-14.235004,-51.92528,S.America
456,18500000,Marmok,3457618361.0,Gaming & Sports,374,Russia,114800.0,1800000.0,2008,81.9,144373535.0,4.59,Games,61.52401,105.318756,Europe
458,18500000,Like Nastya Vlog,8147575884.0,Lifestyle,493,Russia,146800.0,2300000.0,2016,81.9,144373535.0,4.59,People,61.52401,105.318756,Europe
459,18500000,Willie Salim,4051072188.0,Lifestyle,679,Indonesia,592100.0,9500000.0,2014,36.3,270203917.0,4.69,People,-0.789275,113.921327,Asia
460,18400000,PDK Films,4120324310.0,Entertainment,111,United States,43300.0,692600.0,2009,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
461,18400000,TheWillyrex,7038827526.0,Lifestyle,6943,Spain,33000.0,528200.0,2011,88.9,47076781.0,13.96,Games,40.463667,-3.74922,Europe
